filename,channels,width,height,class,xmin,ymin,xmax,ymax
2007_005144.jpg,3,332,500,person,1,12,331,500
2007_005989.jpg,3,500,375,motorbike,140,130,408,273
2007_005989.jpg,3,500,375,person,213,96,355,260
2007_002107.jpg,3,500,375,aeroplane,408,243,449,257
2007_000822.jpg,3,500,374,motorbike,98,165,230,346
2007_000822.jpg,3,500,374,motorbike,231,168,353,323
2007_006841.jpg,3,500,316,cow,1,155,79,271
2007_006841.jpg,3,500,316,cow,102,152,181,244
2007_006841.jpg,3,500,316,cow,74,136,196,271
2007_006841.jpg,3,500,316,cow,196,147,376,307
2007_006841.jpg,3,500,316,cow,312,149,483,268
2007_006841.jpg,3,500,316,person,386,106,436,284
2007_006841.jpg,3,500,316,person,489,118,500,216
2007_003506.jpg,3,500,332,pottedplant,63,42,261,287
2007_003778.jpg,3,500,500,cat,38,67,443,466
2007_003778.jpg,3,500,500,pottedplant,55,75,221,256
2007_003778.jpg,3,500,500,pottedplant,380,94,496,270
2007_003778.jpg,3,500,500,pottedplant,432,54,500,289
2007_001717.jpg,3,500,404,tvmonitor,1,111,58,169
2007_001717.jpg,3,500,404,person,371,160,476,404
2007_001717.jpg,3,500,404,person,227,99,365,404
2007_001717.jpg,3,500,404,chair,146,207,263,366
2007_003195.jpg,3,500,333,bus,167,149,321,276
2007_003195.jpg,3,500,333,car,327,227,474,269
2007_009592.jpg,3,360,270,dog,100,100,240,270
2007_009592.jpg,3,360,270,sofa,51,128,264,270
2007_005430.jpg,3,500,375,bottle,192,181,219,215
2007_005430.jpg,3,500,375,bicycle,110,127,295,266
2007_005430.jpg,3,500,375,person,213,30,356,284
2007_004197.jpg,3,500,334,person,246,21,485,334
2007_000121.jpg,3,500,375,tvmonitor,251,28,475,267
2007_000121.jpg,3,500,375,tvmonitor,22,28,251,273
2007_007892.jpg,3,360,480,person,174,94,302,479
2007_009923.jpg,3,500,333,cat,112,148,252,333
2007_008664.jpg,3,333,500,person,67,72,307,498
2007_009779.jpg,3,500,375,car,97,186,323,329
2007_009779.jpg,3,500,375,car,349,177,494,311
2007_009779.jpg,3,500,375,person,264,133,302,238
2007_009779.jpg,3,500,375,person,306,135,358,282
2007_009779.jpg,3,500,375,person,354,144,401,296
2007_001857.jpg,3,500,375,car,1,11,500,374
2007_001857.jpg,3,500,375,person,397,1,479,127
2007_001857.jpg,3,500,375,person,328,1,413,122
2007_001857.jpg,3,500,375,person,226,1,327,117
2007_001857.jpg,3,500,375,person,168,3,236,104
2007_001857.jpg,3,500,375,person,86,1,145,45
2007_001857.jpg,3,500,375,person,132,32,173,67
2007_000256.jpg,3,500,343,aeroplane,8,96,491,232
